id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,1,1,03353,256000,465000
2,1,2,03353,282000,510000
3,1,3,03353,335000,613000
4,1,4,03353,355000,669000
5,1,5,03353,395000,773000
6,1,6,03353,382000,718000
7,1,7,03353,411000,800000
8,1,8,03353,429000,848000
9,1,9,03353,418000,796000
10,1,10,03353,415000,779000
11,1,11,03353,356000,628000
12,1,12,03353,333000,591000
13,2,1,03353,264000,478000
14,2,2,03353,299000,533000
15,2,3,03353,377000,693000
16,2,4,03353,390000,721000
17,2,5,03353,444000,862000
18,2,6,03353,416000,797000
19,2,7,03353,427000,844000
20,2,8,03353,485000,972000
21,2,9,03353,433000,837000
22,2,10,03353,449000,862000
23,2,11,03353,395000,717000
24,2,12,03353,353000,632000
25,3,1,03353,294000,532000
26,3,2,03353,320000,565000
27,3,3,03353,398000,743000
28,3,4,03353,438000,837000
29,3,5,03353,473000,893000
30,3,6,03353,451000,888000
31,3,7,03353,478000,918000
32,3,8,03353,504000,987000
33,3,9,03353,459000,876000
34,3,10,03353,468000,885000
35,3,11,03353,421000,741000
36,3,12,03353,377000,665000
37,4,1,03353,327000,575000
38,4,2,03353,369000,651000
39,4,3,03353,449000,824000
40,4,4,03353,461000,907000
41,4,5,03353,507000,987000
42,4,6,03353,493000,948000
43,4,7,03353,532000,1030000
44,4,8,03353,567000,1131000
45,4,9,03353,499000,973000
46,4,10,03353,495000,960000
47,4,11,03353,476000,848000
48,4,12,03353,426000,801000
49,5,1,03353,332000,609000
50,5,2,03353,375000,685000
51,5,3,03353,470000,918000
52,5,4,03353,502000,952000
53,5,5,03353,547000,1134000
54,5,6,03353,532000,1043000
55,5,7,03353,554000,1170000
56,5,8,03353,617000,1295000
57,5,9,03353,517000,1029000
58,5,10,03353,522000,1055000
59,5,11,03353,468000,862000
60,5,12,03353,444000,850000
61,6,1,03353,352000,660000
62,6,2,03353,394000,717000
63,6,3,03353,469000,903000
64,6,4,03353,504000,1041000
65,6,5,03353,559000,1128000
66,6,6,03353,537000,1076000
67,6,7,03353,566000,1141000
68,6,8,03353,611000,1299000
69,6,9,03353,524000,1063000
70,6,10,03353,561000,1119000
71,6,11,03353,493000,929000
72,6,12,03353,480000,933000
73,7,1,03353,371000,714000
74,7,2,03353,416000,788000
75,7,3,03353,501000,970000
76,7,4,03353,526000,1066000
77,7,5,03353,573000,1194000
78,7,6,03353,561000,1117000
79,7,7,03353,628000,1265000
80,7,8,03353,605000,1308000
81,7,9,03353,546000,1126000
82,7,10,03353,553000,1146000
83,7,11,03353,503000,967000
84,7,12,03353,496000,977000
85,8,1,03353,382000,757000
86,8,2,03353,463000,878000
87,8,3,03353,526000,1085000
88,8,4,03353,554000,1113000
89,8,5,03353,578000,1221000
90,8,6,03353,565000,1132000
91,8,7,03353,656000,1333000
92,8,8,03353,606000,1300000
93,8,9,03353,581000,1174000
94,8,10,03353,609000,1264000
95,8,11,03353,533000,1023000
96,8,12,03353,513000,1053000
97,9,1,03353,404000,780000
98,9,2,03353,453000,865000
99,9,3,03353,555000,1073000
100,9,4,03353,592000,1268000
101,9,5,03353,597000,1240000
102,9,6,03353,616000,1268000
103,9,7,03353,617000,1352000
104,9,8,03353,636000,1364000
105,9,9,03353,628000,1254000
106,9,10,03353,605000,1258000
107,9,11,03353,552000,1057000
108,9,12,03353,528000,1041000
109,10,1,03353,432000,825000
110,10,2,03353,474000,916000
111,10,3,03353,597000,1192000
112,10,4,03353,599000,1241000
113,10,5,03353,638000,1322000
114,10,6,03353,647000,1299000
115,10,7,03353,675000,1398000
116,10,8,03353,710000,1486000
117,10,9,03353,628000,1295000
118,10,10,03353,636000,1329000
119,10,11,03353,591000,1130000
120,10,12,03353,0,0
