id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,2009,1,36,256000,465000
2,2009,2,36,282000,510000
3,2009,3,36,335000,613000
4,2009,4,36,355000,669000
5,2009,5,36,395000,773000
6,2009,6,36,382000,718000
7,2009,7,36,411000,800000
8,2009,8,36,429000,848000
9,2009,9,36,418000,796000
10,2009,10,36,415000,779000
11,2009,11,36,356000,628000
12,2009,12,36,333000,591000
13,2010,1,36,264000,478000
14,2010,2,36,299000,533000
15,2010,3,36,377000,693000
16,2010,4,36,390000,721000
17,2010,5,36,444000,862000
18,2010,6,36,416000,797000
19,2010,7,36,427000,844000
20,2010,8,36,485000,972000
21,2010,9,36,433000,837000
22,2010,10,36,449000,862000
23,2010,11,36,395000,717000
24,2010,12,36,353000,632000
25,2011,1,36,294000,532000
26,2011,2,36,320000,565000
27,2011,3,36,398000,743000
28,2011,4,36,438000,837000
29,2011,5,36,473000,893000
30,2011,6,36,451000,888000
31,2011,7,36,478000,918000
32,2011,8,36,504000,987000
33,2011,9,36,459000,876000
34,2011,10,36,468000,885000
35,2011,11,36,421000,741000
36,2011,12,36,377000,665000
37,2012,1,36,327000,575000
38,2012,2,36,369000,651000
39,2012,3,36,449000,824000
40,2012,4,36,461000,907000
41,2012,5,36,507000,987000
42,2012,6,36,493000,948000
43,2012,7,36,532000,1030000
44,2012,8,36,567000,1131000
45,2012,9,36,499000,973000
46,2012,10,36,495000,960000
47,2012,11,36,476000,848000
48,2012,12,36,426000,801000
49,2013,1,36,332000,609000
50,2013,2,36,375000,685000
51,2013,3,36,470000,918000
52,2013,4,36,502000,952000
53,2013,5,36,547000,1134000
54,2013,6,36,532000,1043000
55,2013,7,36,554000,1170000
56,2013,8,36,617000,1295000
57,2013,9,36,517000,1029000
58,2013,10,36,522000,1055000
59,2013,11,36,468000,862000
60,2013,12,36,444000,850000
61,2014,1,36,352000,660000
62,2014,2,36,394000,717000
63,2014,3,36,469000,903000
64,2014,4,36,504000,1041000
65,2014,5,36,559000,1128000
66,2014,6,36,537000,1076000
67,2014,7,36,566000,1141000
68,2014,8,36,611000,1299000
69,2014,9,36,524000,1063000
70,2014,10,36,561000,1119000
71,2014,11,36,493000,929000
72,2014,12,36,480000,933000
73,2015,1,36,371000,714000
74,2015,2,36,416000,788000
75,2015,3,36,501000,970000
76,2015,4,36,526000,1066000
77,2015,5,36,573000,1194000
78,2015,6,36,561000,1117000
79,2015,7,36,628000,1265000
80,2015,8,36,605000,1308000
81,2015,9,36,546000,1126000
82,2015,10,36,553000,1146000
83,2015,11,36,503000,967000
84,2015,12,36,496000,977000
85,2016,1,36,382000,757000
86,2016,2,36,463000,878000
87,2016,3,36,526000,1085000
88,2016,4,36,554000,1113000
89,2016,5,36,578000,1221000
90,2016,6,36,565000,1132000
91,2016,7,36,656000,1333000
92,2016,8,36,606000,1300000
93,2016,9,36,581000,1174000
94,2016,10,36,609000,1264000
95,2016,11,36,533000,1023000
96,2016,12,36,513000,1053000
97,2017,1,36,404000,780000
98,2017,2,36,453000,865000
99,2017,3,36,555000,1073000
100,2017,4,36,592000,1268000
101,2017,5,36,597000,1240000
102,2017,6,36,616000,1268000
103,2017,7,36,617000,1352000
104,2017,8,36,636000,1364000
105,2017,9,36,628000,1254000
106,2017,10,36,605000,1258000
107,2017,11,36,552000,1057000
108,2017,12,36,528000,1041000
109,2018,1,36,432000,825000
110,2018,2,36,474000,916000
111,2018,3,36,597000,1192000
112,2018,4,36,599000,1241000
113,2018,5,36,638000,1322000
114,2018,6,36,647000,1299000
115,2018,7,36,675000,1398000
116,2018,8,36,710000,1486000
117,2018,9,36,628000,1295000
118,2018,10,36,636000,1329000
119,2018,11,36,591000,1130000
120,2018,12,36,0,0
